tissue	trait	p1_trait_prior	p2_tissue_prior	p12	pm1	pm2	enloc_enrich_intercept_effect(inteffect)	inteffect_95ci_lower	inteffect_95ci_upper	enloc_enrich_log_odds_ratio_effect(logor)	logor_95ci_lower	logor_95ci_upper
Adipose_Subcutaneous	Adiponectin	7.31680E-06	3.32503E-03	3.05385E-08	7.34734E-06	3.32506E-03	-11.822	-11.849	-11.795	0.224	-2.384	2.832
Adipose_Subcutaneous	Alzheimers_Disease	1.32258E-05	3.32490E-03	1.60605E-07	1.33864E-05	3.32506E-03	-11.230	-11.409	-11.052	1.292	-2.956	5.540
Adipose_Subcutaneous	Ankylosing_Spondylitis_UKBS	2.19586E-05	3.32500E-03	6.41343E-08	2.20227E-05	3.32506E-03	-10.723	-10.747	-10.699	-0.133	-1.818	1.552
Adipose_Subcutaneous	Asthma	1.27072E-05	3.32500E-03	5.75688E-08	1.27647E-05	3.32506E-03	-11.270	-11.296	-11.244	0.306	-2.510	3.123
Adipose_Subcutaneous	Asthma_TAGC_EUR	1.67126E-05	3.32499E-03	7.10921E-08	1.67837E-05	3.32506E-03	-10.996	-11.022	-10.970	0.243	-2.844	3.331
Adipose_Subcutaneous	Asthma_UKB	3.42315E-05	3.31474E-03	1.03205E-05	4.45520E-05	3.32506E-03	-10.279	-10.319	-10.239	4.507	3.274	5.741
Adipose_Subcutaneous	Asthma_UKBS	3.46794E-05	3.31433E-03	1.07296E-05	4.54090E-05	3.32506E-03	-10.266	-10.311	-10.222	4.533	3.326	5.740
Adipose_Subcutaneous	Attention_Deficit_Hyperactivity_Disorder	3.56284E-05	3.32487E-03	1.86223E-07	3.58147E-05	3.32506E-03	-10.239	-10.262	-10.215	0.449	-2.718	3.617
Adipose_Subcutaneous	Autism_Spectrum_Disorder	8.58283E-07	3.32506E-03	2.86623E-09	8.61150E-07	3.32506E-03	-13.965	-13.997	-13.933	0.001	-3.289	3.291
Adipose_Subcutaneous	BMI_Active_Inds	2.04741E-05	3.32364E-03	1.41881E-06	2.18929E-05	3.32506E-03	-10.793	-10.876	-10.711	3.034	0.079	5.989
Adipose_Subcutaneous	BMI_Childhood	1.29121E-05	3.32501E-03	5.46518E-08	1.29668E-05	3.32506E-03	-11.254	-11.279	-11.229	0.238	-2.390	2.867
Adipose_Subcutaneous	BMI_EUR	3.96520E-05	3.32286E-03	2.20027E-06	4.18522E-05	3.32506E-03	-10.132	-10.198	-10.067	2.812	0.101	5.523
Adipose_Subcutaneous	BMI_UKB	9.51148E-05	3.31001E-03	1.50549E-05	1.10170E-04	3.32506E-03	-9.257	-9.281	-9.233	3.864	3.096	4.631
Adipose_Subcutaneous	Balding_Pattern_2_UKB	2.37874E-05	3.32496E-03	1.01187E-07	2.38886E-05	3.32506E-03	-10.643	-10.667	-10.619	0.243	-2.769	3.254
Adipose_Subcutaneous	Balding_Pattern_3_UKB	2.15453E-05	3.32494E-03	1.17210E-07	2.16625E-05	3.32506E-03	-10.742	-10.777	-10.707	0.489	-3.136	4.114
Adipose_Subcutaneous	Balding_Pattern_4_UKB	4.88684E-05	3.32013E-03	4.92715E-06	5.37955E-05	3.32506E-03	-9.923	-9.956	-9.890	3.410	1.929	4.891
Adipose_Subcutaneous	Birth_Length	1.08024E-06	3.32506E-03	4.07144E-09	1.08431E-06	3.32506E-03	-13.735	-13.954	-13.517	0.122	-2.302	2.545
Adipose_Subcutaneous	Birth_Weight	2.36215E-05	3.30879E-03	1.62702E-05	3.98917E-05	3.32506E-03	-10.650	-10.699	-10.601	5.335	4.285	6.384
Adipose_Subcutaneous	Birth_Weight_UKB	3.91398E-05	3.30619E-03	1.88696E-05	5.80094E-05	3.32506E-03	-10.145	-10.180	-10.110	4.979	4.068	5.891
Adipose_Subcutaneous	Body_Fat_Percentage_UKB	8.80664E-05	3.30531E-03	1.97526E-05	1.07819E-04	3.32506E-03	-9.334	-9.361	-9.306	4.214	3.500	4.929
Adipose_Subcutaneous	Bone_Mineral_Density	7.04398E-06	3.32503E-03	2.52794E-08	7.06926E-06	3.32506E-03	-11.860	-11.887	-11.833	0.073	-2.084	2.230
Adipose_Subcutaneous	Breast_Cancer	2.59755E-05	3.31778E-03	7.27942E-06	3.32549E-05	3.32506E-03	-10.555	-10.600	-10.509	4.433	2.849	6.017
Adipose_Subcutaneous	CH2DB_NMR	4.67008E-06	3.32504E-03	2.08842E-08	4.69096E-06	3.32506E-03	-12.271	-12.300	-12.242	0.293	-2.252	2.837
Adipose_Subcutaneous	Celiac_Disease	5.63037E-06	3.32504E-03	2.38311E-08	5.65420E-06	3.32506E-03	-12.084	-12.132	-12.036	0.238	-2.308	2.785
Adipose_Subcutaneous	Chronic_Kidney_Disease	4.33263E-06	3.32504E-03	1.72014E-08	4.34984E-06	3.32506E-03	-12.346	-12.374	-12.318	0.174	-1.968	2.316
Adipose_Subcutaneous	Chronotype	2.20907E-05	3.32494E-03	1.21871E-07	2.22126E-05	3.32506E-03	-10.717	-10.742	-10.691	0.503	-3.454	4.459
Adipose_Subcutaneous	Chronotype_UKB	5.95086E-05	3.31439E-03	1.06657E-05	7.01742E-05	3.32506E-03	-9.726	-9.765	-9.688	3.987	2.752	5.221
Adipose_Subcutaneous	Coronary_Artery_Disease	2.16967E-05	3.31365E-03	1.14136E-05	3.31102E-05	3.32506E-03	-10.735	-10.793	-10.677	5.064	3.831	6.296
Adipose_Subcutaneous	Crohns_Disease	2.34333E-05	3.31784E-03	7.22154E-06	3.06548E-05	3.32506E-03	-10.658	-10.721	-10.594	4.528	2.902	6.154
Adipose_Subcutaneous	Crohns_Disease_UKBS	2.22015E-05	3.32500E-03	6.32427E-08	2.22647E-05	3.32506E-03	-10.712	-10.736	-10.688	-0.158	-1.834	1.518
Adipose_Subcutaneous	Deep_Venous_Thrombosis_UKB	9.86675E-06	3.32502E-03	3.67445E-08	9.90349E-06	3.32506E-03	-11.523	-11.549	-11.497	0.110	-1.994	2.215
Adipose_Subcutaneous	Deep_Venous_Thrombosis_UKBS	9.69073E-06	3.32503E-03	3.49874E-08	9.72572E-06	3.32506E-03	-11.541	-11.567	-11.515	0.079	-2.056	2.214
Adipose_Subcutaneous	Depressive_Symptoms	9.65205E-06	3.32502E-03	3.66344E-08	9.68868E-06	3.32506E-03	-11.545	-11.573	-11.516	0.129	-2.317	2.576
Adipose_Subcutaneous	Diastolic_Blood_Pressure	1.14406E-05	3.32502E-03	3.72252E-08	1.14778E-05	3.32506E-03	-11.375	-11.400	-11.350	-0.025	-1.945	1.894
Adipose_Subcutaneous	ER-negative_Breast_Cancer	2.32698E-05	3.32331E-03	1.75193E-06	2.50217E-05	3.32506E-03	-10.665	-10.756	-10.575	3.117	-0.157	6.390
Adipose_Subcutaneous	ER-positive_Breast_Cancer	8.15941E-06	3.32503E-03	2.91073E-08	8.18852E-06	3.32506E-03	-11.713	-11.739	-11.687	0.067	-3.381	3.516
Adipose_Subcutaneous	Eczema	1.22701E-05	3.32498E-03	7.72444E-08	1.23474E-05	3.32506E-03	-11.305	-11.340	-11.270	0.635	-3.586	4.855
Adipose_Subcutaneous	Eczema_UKBS	1.19792E-05	3.32501E-03	4.54669E-08	1.20246E-05	3.32506E-03	-11.329	-11.354	-11.304	0.129	-2.012	2.270
Adipose_Subcutaneous	Education_Years	6.85190E-05	3.31361E-03	1.14478E-05	7.99668E-05	3.32506E-03	-9.585	-9.617	-9.554	3.917	2.740	5.094
Adipose_Subcutaneous	Eosinophil_Count	5.83303E-05	3.30868E-03	1.63840E-05	7.47143E-05	3.32506E-03	-9.746	-9.785	-9.707	4.438	3.659	5.217
Adipose_Subcutaneous	Epilepsy	4.35000E-06	3.32504E-03	1.51196E-08	4.36512E-06	3.32506E-03	-12.342	-12.370	-12.314	0.041	-2.075	2.156
Adipose_Subcutaneous	Epilepsy_UKB	3.34532E-05	3.32498E-03	7.75540E-08	3.35307E-05	3.32506E-03	-10.302	-10.326	-10.278	-0.364	-2.114	1.385
Adipose_Subcutaneous	Fasting_Glucose	7.12901E-06	3.32503E-03	2.94293E-08	7.15844E-06	3.32506E-03	-11.848	-11.878	-11.818	0.213	-2.213	2.639
Adipose_Subcutaneous	Fasting_Insulin	4.20706E-07	3.32506E-03	1.40354E-09	4.22110E-07	3.32506E-03	-14.678	-14.711	-14.645	0.000	-0.607	0.607
Adipose_Subcutaneous	Fathers_Age_At_Death_UKB	1.08392E-05	3.32327E-03	1.78730E-06	1.26265E-05	3.32506E-03	-11.429	-11.741	-11.117	3.901	-0.943	8.746
Adipose_Subcutaneous	Fluid_Intelligence_Score_UKB	4.11877E-05	3.30909E-03	1.59655E-05	5.71532E-05	3.32506E-03	-10.094	-10.131	-10.056	4.760	3.781	5.738
Adipose_Subcutaneous	Gout_UKBS	1.43991E-05	3.32499E-03	7.24558E-08	1.44716E-05	3.32506E-03	-11.145	-11.210	-11.079	0.411	-2.219	3.041
Adipose_Subcutaneous	Granulocyte_Count	5.67765E-05	3.30665E-03	1.84063E-05	7.51828E-05	3.32506E-03	-9.773	-9.815	-9.732	4.582	3.811	5.353
Adipose_Subcutaneous	HDL_Cholesterol	2.86499E-05	3.32232E-03	2.73579E-06	3.13857E-05	3.32506E-03	-10.457	-10.506	-10.407	3.355	1.685	5.025
Adipose_Subcutaneous	HDL_Cholesterol_NMR	8.27444E-06	3.32500E-03	5.80893E-08	8.33253E-06	3.32506E-03	-11.699	-11.855	-11.543	0.744	-3.281	4.769
Adipose_Subcutaneous	Hayfever_UKB	4.18938E-05	3.31174E-03	1.33195E-05	5.52133E-05	3.32506E-03	-10.077	-10.122	-10.032	4.561	3.537	5.586
Adipose_Subcutaneous	Heart_Attack_UKB	1.42558E-05	3.32496E-03	9.70250E-08	1.43529E-05	3.32506E-03	-11.155	-11.210	-11.101	0.713	-3.691	5.117
Adipose_Subcutaneous	Heart_Rate	1.41989E-05	3.32494E-03	1.19338E-07	1.43183E-05	3.32506E-03	-11.159	-11.239	-11.080	0.924	-3.261	5.109
Adipose_Subcutaneous	Height	1.14213E-04	3.31052E-03	1.45394E-05	1.28752E-04	3.32506E-03	-9.074	-9.100	-9.049	3.646	2.917	4.374
Adipose_Subcutaneous	High_Cholesterol_UKBS	2.32698E-05	3.31187E-03	1.31875E-05	3.64573E-05	3.32506E-03	-10.665	-10.735	-10.595	5.139	3.937	6.340
Adipose_Subcutaneous	High_Light_Scatter_Reticulocyte_Count	5.82137E-05	3.30876E-03	1.63027E-05	7.45164E-05	3.32506E-03	-9.748	-9.782	-9.715	4.435	3.634	5.236
Adipose_Subcutaneous	Hip_Circumference_EUR	2.73073E-05	3.32134E-03	3.71777E-06	3.10250E-05	3.32506E-03	-10.505	-10.562	-10.448	3.710	1.857	5.564
Adipose_Subcutaneous	Hypertension_UKBS	5.76922E-05	3.30378E-03	2.12812E-05	7.89734E-05	3.32506E-03	-9.757	-9.787	-9.727	4.712	3.990	5.433
Adipose_Subcutaneous	Hyperthyroidism_UKBS	1.46753E-05	3.32494E-03	1.17444E-07	1.47927E-05	3.32506E-03	-11.126	-11.175	-11.077	0.875	-2.218	3.968
Adipose_Subcutaneous	Hypothyroidism_UKBS	3.59146E-05	3.31569E-03	9.36914E-06	4.52837E-05	3.32506E-03	-10.231	-10.276	-10.187	4.362	2.987	5.737
Adipose_Subcutaneous	Inflammatory_Bowel_Disease	2.92287E-05	3.31971E-03	5.35286E-06	3.45816E-05	3.32506E-03	-10.437	-10.495	-10.379	4.007	1.976	6.038
Adipose_Subcutaneous	Inflammatory_Bowel_Disease_UKBS	8.65821E-05	3.32493E-03	1.30969E-07	8.67131E-05	3.32506E-03	-9.351	-9.372	-9.330	-0.791	-2.043	0.460
Adipose_Subcutaneous	Insomnia_In_Both_Sexes	5.74985E-06	3.32504E-03	1.89536E-08	5.76881E-06	3.32506E-03	-12.063	-12.090	-12.036	-0.012	-1.380	1.356
Adipose_Subcutaneous	Insomnia_UKB	3.35872E-05	3.31470E-03	1.03618E-05	4.39490E-05	3.32506E-03	-10.298	-10.341	-10.254	4.530	3.121	5.938
Adipose_Subcutaneous	Insomnia_UKBS	5.36309E-05	3.32496E-03	1.03128E-07	5.37341E-05	3.32506E-03	-9.830	-9.852	-9.808	-0.551	-2.017	0.915
Adipose_Subcutaneous	Intracraneal_Volume	1.87607E-06	3.32505E-03	6.34709E-09	1.88242E-06	3.32506E-03	-13.183	-13.212	-13.153	0.014	-5.756	5.785
Adipose_Subcutaneous	Irritable_Bowel_Syndrome_UKBS	1.75274E-06	3.32505E-03	5.94765E-09	1.75868E-06	3.32506E-03	-13.251	-13.281	-13.221	0.017	-1.974	2.007
Adipose_Subcutaneous	LDL_Cholesterol	2.53849E-05	3.32462E-03	4.42246E-07	2.58271E-05	3.32506E-03	-10.578	-10.615	-10.540	1.653	-1.324	4.630
Adipose_Subcutaneous	LDL_Cholesterol_NMR	9.72957E-06	3.32461E-03	4.50277E-07	1.01799E-05	3.32506E-03	-11.537	-11.646	-11.428	2.630	-0.820	6.079
Adipose_Subcutaneous	Lymphocyte_Count	6.38870E-05	3.30887E-03	1.61895E-05	8.00765E-05	3.32506E-03	-9.655	-9.695	-9.615	4.335	3.457	5.214
Adipose_Subcutaneous	Migraine_UKB	2.69276E-05	3.32497E-03	8.54535E-08	2.70131E-05	3.32506E-03	-10.519	-10.543	-10.494	-0.050	-2.395	2.296
Adipose_Subcutaneous	Migraine_UKBS	1.28734E-05	3.32501E-03	4.70393E-08	1.29205E-05	3.32506E-03	-11.257	-11.283	-11.232	0.091	-1.933	2.115
Adipose_Subcutaneous	Monocyte_Count	6.22474E-05	3.30667E-03	1.83880E-05	8.06354E-05	3.32506E-03	-9.681	-9.713	-9.648	4.489	3.771	5.207
Adipose_Subcutaneous	Mothers_Age_At_Death_UKB	4.90951E-06	3.32504E-03	1.79393E-08	4.92745E-06	3.32506E-03	-12.221	-12.249	-12.193	0.091	-2.039	2.222
Adipose_Subcutaneous	Multiple_Sclerosis	9.55601E-06	3.32098E-03	4.07967E-06	1.36357E-05	3.32506E-03	-11.555	-11.668	-11.443	4.853	2.896	6.810
Adipose_Subcutaneous	Multiple_Sclerosis_UKBS	2.00486E-05	3.32500E-03	5.94408E-08	2.01081E-05	3.32506E-03	-10.814	-10.838	-10.790	-0.118	-1.906	1.669
Adipose_Subcutaneous	Myeloid_White_Cell_Count	5.74619E-05	3.30619E-03	1.88696E-05	7.63315E-05	3.32506E-03	-9.761	-9.798	-9.725	4.595	3.836	5.355
Adipose_Subcutaneous	Neuroticism	7.96734E-08	3.32506E-03	2.65802E-10	7.99392E-08	3.32506E-03	-16.342	-16.379	-16.305	0.000	-0.266	0.266
Adipose_Subcutaneous	Neuroticism_UKB	5.38459E-05	3.31614E-03	8.92232E-06	6.27682E-05	3.32506E-03	-9.826	-9.860	-9.792	3.908	2.571	5.246
Adipose_Subcutaneous	Neutrophil_Count	5.57637E-05	3.30643E-03	1.86272E-05	7.43910E-05	3.32506E-03	-9.791	-9.834	-9.749	4.612	3.826	5.398
Adipose_Subcutaneous	Osteoporosis_UKBS	1.13722E-05	3.32500E-03	5.64289E-08	1.14286E-05	3.32506E-03	-11.381	-11.407	-11.355	0.397	-2.611	3.406
Adipose_Subcutaneous	Parkinsons_Disease_UKBS	3.26272E-05	3.32492E-03	1.44887E-07	3.27721E-05	3.32506E-03	-10.327	-10.350	-10.304	0.286	-2.460	3.032
Adipose_Subcutaneous	Platelet_Count	7.16009E-05	3.30794E-03	1.71172E-05	8.87181E-05	3.32506E-03	-9.541	-9.569	-9.514	4.277	3.516	5.038
Adipose_Subcutaneous	Psoriasis_UKBS	1.72906E-05	3.32423E-03	8.30268E-07	1.81209E-05	3.32506E-03	-10.962	-10.994	-10.929	2.667	0.568	4.766
Adipose_Subcutaneous	Psychological_Problem_UKBS	5.11176E-05	3.32496E-03	9.97801E-08	5.12174E-05	3.32506E-03	-9.878	-9.901	-9.855	-0.536	-2.011	0.938
Adipose_Subcutaneous	Pubertal_Height_Female	6.90858E-07	3.32506E-03	2.32100E-09	6.93179E-07	3.32506E-03	-14.182	-14.214	-14.150	0.007	-2.463	2.477
Adipose_Subcutaneous	Pubertal_Height_Male	1.27148E-06	3.32506E-03	4.27591E-09	1.27575E-06	3.32506E-03	-13.572	-13.603	-13.541	0.008	-5.373	5.389
Adipose_Subcutaneous	Pulmonary_Embolism_UKB	1.26185E-05	3.32502E-03	3.84357E-08	1.26570E-05	3.32506E-03	-11.277	-11.302	-11.252	-0.091	-1.771	1.589
Adipose_Subcutaneous	Red_Blood_Cell_Count	6.63613E-05	3.30828E-03	1.67799E-05	8.31412E-05	3.32506E-03	-9.617	-9.653	-9.581	4.333	3.526	5.141
Adipose_Subcutaneous	Reticulocyte_Count	5.85055E-05	3.31006E-03	1.49951E-05	7.35006E-05	3.32506E-03	-9.743	-9.777	-9.710	4.346	3.502	5.189
Adipose_Subcutaneous	Rheumatoid_Arthritis	2.60275E-05	3.31720E-03	7.86070E-06	3.38882E-05	3.32506E-03	-10.553	-10.609	-10.497	4.508	3.286	5.730
Adipose_Subcutaneous	Rheumatoid_Arthritis_UKBS	1.01064E-05	3.32503E-03	3.26547E-08	1.01391E-05	3.32506E-03	-11.499	-11.525	-11.473	-0.032	-1.659	1.596
Adipose_Subcutaneous	Schizophrenia	7.96068E-05	3.31255E-03	1.25093E-05	9.21162E-05	3.32506E-03	-9.435	-9.463	-9.407	3.856	2.812	4.900
Adipose_Subcutaneous	Schizophrenia_UKBS	4.88196E-05	3.32496E-03	9.79022E-08	4.89175E-05	3.32506E-03	-9.924	-9.946	-9.902	-0.509	-2.028	1.010
Adipose_Subcutaneous	Sleep_Duration	8.75103E-06	3.32503E-03	3.48129E-08	8.78584E-06	3.32506E-03	-11.643	-11.669	-11.617	0.176	-1.897	2.249
Adipose_Subcutaneous	Sleep_Duration_UKB	3.94148E-05	3.31209E-03	1.29661E-05	5.23808E-05	3.32506E-03	-10.138	-10.176	-10.101	4.595	3.426	5.765
Adipose_Subcutaneous	Smoker	4.28776E-07	3.32506E-03	1.42903E-09	4.30205E-07	3.32506E-03	-14.659	-14.692	-14.626	-0.001	-1.246	1.244
Adipose_Subcutaneous	Standing_Height_UKB	1.02113E-04	3.30751E-03	1.75482E-05	1.19661E-04	3.32506E-03	-9.186	-9.209	-9.162	3.947	3.366	4.528
Adipose_Subcutaneous	Stroke	1.26513E-06	3.32506E-03	4.28447E-09	1.26942E-06	3.32506E-03	-13.577	-13.608	-13.546	0.015	-4.622	4.652
Adipose_Subcutaneous	Sum_Basophil_Neutrophil_Count	5.53194E-05	3.30596E-03	1.90961E-05	7.44155E-05	3.32506E-03	-9.799	-9.841	-9.757	4.645	3.877	5.413
Adipose_Subcutaneous	Sum_Eosinophil_Basophil_Count	5.85055E-05	3.30953E-03	1.55267E-05	7.40322E-05	3.32506E-03	-9.743	-9.780	-9.707	4.381	3.574	5.188
Adipose_Subcutaneous	Sum_Neutrophil_Eosinophil_Count	5.66065E-05	3.30667E-03	1.83880E-05	7.49944E-05	3.32506E-03	-9.776	-9.816	-9.737	4.584	3.807	5.361
Adipose_Subcutaneous	Systemic_Lupus_Erythematosus	3.56641E-05	3.32459E-03	4.69589E-07	3.61337E-05	3.32506E-03	-10.238	-10.290	-10.186	1.373	-1.726	4.473
Adipose_Subcutaneous	Systolic_Blood_Pressure	1.11358E-05	3.32500E-03	6.38144E-08	1.11997E-05	3.32506E-03	-11.402	-11.434	-11.370	0.541	-2.163	3.244
Adipose_Subcutaneous	Triglycerides	2.16533E-05	3.32130E-03	3.75885E-06	2.54122E-05	3.32506E-03	-10.737	-10.800	-10.674	3.953	2.505	5.401
Adipose_Subcutaneous	Triglycerides_NMR	1.02797E-05	3.32495E-03	1.08198E-07	1.03879E-05	3.32506E-03	-11.482	-11.531	-11.433	1.149	-1.608	3.905
Adipose_Subcutaneous	Type_1_Diabetes_UKBS	5.59313E-05	3.32496E-03	1.04164E-07	5.60354E-05	3.32506E-03	-9.788	-9.810	-9.766	-0.583	-1.990	0.823
Adipose_Subcutaneous	Type_2_Diabetes	1.55827E-05	3.32498E-03	7.54881E-08	1.56582E-05	3.32506E-03	-11.066	-11.099	-11.033	0.373	-5.701	6.448
Adipose_Subcutaneous	Type_2_Diabetes_UKBS	1.10030E-05	3.32502E-03	3.68180E-08	1.10398E-05	3.32506E-03	-11.414	-11.440	-11.388	0.003	-2.059	2.065
Adipose_Subcutaneous	Ulcerative_Colitis	2.33864E-05	3.32110E-03	3.96319E-06	2.73496E-05	3.32506E-03	-10.660	-10.725	-10.596	3.929	1.752	6.107
Adipose_Subcutaneous	Ulcerative_Colitis_UKBS	1.62511E-05	3.32500E-03	6.21145E-08	1.63133E-05	3.32506E-03	-11.024	-11.049	-10.999	0.136	-2.119	2.391
Adipose_Subcutaneous	Waist-to-Hip_Ratio_EUR	1.72906E-05	3.32316E-03	1.90155E-06	1.91921E-05	3.32506E-03	-10.962	-11.026	-10.897	3.496	1.366	5.625
